"powiat","samochodyZielone","gęstość","ludnosc","przystanki","odsetek65","cenyMieszkan","parki","ogółem","rodzaj_powiat"
"Powiat bełchatowski",98.6839088366121,112.7,109035,74.2880726372266,18.5,238010,7.79566194341267,8140.22,"ziemski"
"Powiat nowomiejski",253.263521997678,60.8,42209,53.5430832286953,16.9,185674,3.79066075955365,4668.6,"ziemski"
"Powiat stalowowolski",102.816887550794,122.2,101637,48.9979043065026,21.1,272212,1.67261922331434,5817.58,"ziemski"
"Powiat radzyński",187.951633539365,57.5,55493,57.4847278035068,19,231380,2.16243490169931,5547.83,"ziemski"
"Powiat m. Ostrołęka",214.115618328133,1455.8,48712,35.1042864181311,21.4,274001,3.6951880440138,6673.91,"grodzki"
"Powiat łukowski",101.343365899779,72.8,101536,78.4943271352033,18.1,258245,1.77277024897573,5256.57,"ziemski"
"Powiat m. Łomża",169.970729111229,1840.5,60128,29.4372006386376,19.8,316361,9.14715274081959,5827.01,"grodzki"
"Powiat sierpecki",207.652295483049,57.1,48639,48.9319270544214,18.5,226090,5.75669730052016,5505.06,"ziemski"
"Powiat dzierżoniowski",105.150057895121,200.3,95863,38.4924319080354,23.1,156434,12.7264951023857,5723.65,"ziemski"
"Powiat kolski",121.918542336549,81.2,82104,95.9758355256748,19.9,193440,5.4808535515931,5976.51,"ziemski"
"Powiat m. Jaworzno",114.332054093567,574.5,87552,46.1440058479532,20,260187,7.42415935672515,7568.06,"grodzki"
"Powiat turecki",121.778881010605,87.5,81377,68.4468584489475,18.1,222664,9.58501787974489,5049.4,"ziemski"
"Powiat tomaszowski",88.8378395355306,108.8,111439,56.3537002306194,21.4,267399,5.83278744425201,5478.29,"ziemski"
"Powiat buski",144.588871038411,70.7,68470,159.193807506937,22.6,335624,5.40382649335475,5412.76,"ziemski"
"Powiat mławski",140.964600624272,58.8,69521,74.5098603299722,18.2,238321,6.47286431437983,5385.65,"ziemski"
"Powiat brodnicki",125.036832058624,75.1,78057,84.0411494164521,16.7,243130,9.73647462751579,5179.2,"ziemski"
"Powiat gostyniński",225.412239345108,69.3,42633,60.0473811366782,20.9,242540,1.87648066052119,5806.09,"ziemski"
"Powiat krapkowicki",159.931958040792,135.7,59963,29.8517419075096,18.9,231662,9.17232293247503,6424.68,"ziemski"
"Powiat łódzki wschodni",128.696494129987,148.8,74361,54.7329917564315,18.8,361893,4.16885195196407,5475.31,"ziemski"
"Powiat łomżyński",190.903421777876,36.7,49711,82.4767154150993,16.7,220196,1.40813904367243,6087.64,"ziemski"
"Powiat jędrzejowski",115.78998850659,65.1,81786,144.523512581615,21.4,212323,6.35805639106938,5829.63,"ziemski"
"Powiat stargardzki",78.9495763067371,78.4,119190,53.2762815672456,19.6,256075,6.71197248091283,5605.44,"ziemski"
"Powiat gorlicki",88.9565332476225,109.5,105782,65.1339547371008,18.1,232682,0.756272333667354,5027.39,"ziemski"
"Powiat łaski",191.868060091444,79.2,48992,54.2945787067276,20.5,217478,4.49052906596995,5241.99,"ziemski"
"Powiat świecki",98.0505248586919,64.7,95359,79.2793548590065,18.2,226112,8.49421659203641,5795.79,"ziemski"
"Powiat zielonogórski",124.588152120266,55.5,74967,45.219896754572,18.3,195004,12.1386743500474,6162.35,"ziemski"
"Powiat kędzierzyńsko-kozielski",106.883037776833,139.2,87011,52.2922389123214,21,182161,8.27481582788383,6760.49,"ziemski"
"Powiat koszaliński",139.382797902477,40.1,66364,64.1914290880598,17.2,375120,7.5342052920258,5601.77,"ziemski"
"Powiat kaliski",111.511096566185,71.1,82503,79.8758833012133,17.5,260026,3.15140055513133,5201.09,"ziemski"
"Powiat starachowicki",108.739380457676,161.5,84514,95.3688146342618,23.1,206006,3.90467851480228,5730.06,"ziemski"
"Powiat oleski",147.578735688106,63.3,61662,71.8432746261879,19.8,195288,2.10826765268723,5527.82,"ziemski"
"Powiat m. Biała Podlaska",165.790242477359,1108.7,54768,36.1524978089395,20,238097,2.55623721881391,5691.8,"grodzki"
"Powiat bolesławiecki",103.159618752986,67.5,87922,48.2245626805578,19.6,248481,7.62039080093719,6181.6,"ziemski"
"Powiat głogowski",105.2643863273,193.3,85689,45.1633231803382,21.2,263513,11.4367071619461,5856.76,"ziemski"
"Powiat żarski",97.9357323960521,66,91897,39.500745399741,19.6,177920,8.92303339608475,6172.02,"ziemski"
"Powiat wieluński",123.051681706317,79,73140,73.9677331145748,20.5,290097,3.96499863275909,5497.22,"ziemski"
"Powiat chojnicki",93.5375917188052,70.5,96218,57.7854455507286,17.2,263520,15.9013905921969,5433.86,"ziemski"
"Powiat ciechanowski",104.406320436311,80.8,85627,66.2174314176603,19.7,269663,1.7517838999381,6213.79,"ziemski"
"Powiat oławski",115.394566623545,147.5,77300,48.6416558861578,19.4,317267,9.1849935316947,6030.47,"ziemski"
"Powiat trzebnicki",101.160539370124,85.2,87287,48.8045184277155,18,338313,16.0390436147422,5852.88,"ziemski"
"Powiat zamojski",86.5980194894859,54.2,101388,97.4474296760958,20,182118,1.4794650254468,4926.9,"ziemski"
"Powiat włocławski",105.933485877553,56.1,82599,98.3062748943692,18.6,189718,3.99520575309628,5289.63,"ziemski"
"Powiat tatrzański",129.195084577712,141.1,66566,64.8979959739206,18.1,742870,1.65249526785446,5519.76,"ziemski"
"Powiat pleszewski",139.134957658112,86.3,61523,52.1756091217919,18.4,237181,15.6039204850219,5559.5,"ziemski"
"Powiat m. Żory",138.311467719236,956.3,61817,29.1182037303654,19.9,316920,8.08838992510151,5747.61,"grodzki"
"Powiat wysokomazowiecki",158.612235801048,41.8,53842,87.6639055012815,19.6,289805,4.27175810705397,6070.52,"ziemski"
"Powiat m. Zamość",144.548878558583,1943.4,58942,31.3867870109599,22.5,302644,4.75043262868583,5875.74,"grodzki"
"Powiat wałbrzyski",159.841852584016,123.5,53115,49.7034735950296,21.5,142251,17.8857196648781,5431.27,"ziemski"
"Powiat świdnicki",121.145057913948,148.6,69586,62.3688673008939,21.9,315497,30.6096053803926,6162.15,"ziemski"
