powiat,samochodyZielone,gęstość,ludnosc,przystanki,odsetek65,cenyMieszkan,parki,ogółem,rodzaj powiat
Powiat konecki,621,65.4,74558,899,23.2,230317,53,"5,493.64",ziemski
Powiat gryficki,621,55.8,56961,199,19.5,512673,148,"5,364.42",ziemski
Powiat m. Jelenia Góra,619,693.4,75794,242,26.3,280995,96,"6,282.14",grodzki
Powiat żagański,618,65.7,74390,297,20.2,147584,90,"5,468.20",ziemski
Powiat białobrzeski,617,51,32614,149,17.8,238713,4,"5,563.78",ziemski
Powiat golubsko-dobrzyński,613,71.1,43547,252,17.7,186188,34,"6,015.41",ziemski
Powiat kamiennogórski,610,103.1,40786,149,21.5,137175,38,"5,550.65",ziemski
Powiat drawski,610,30.6,53960,253,20,160650,110,"5,323.36",ziemski
Powiat prudnicki,609,90.9,51910,275,20.3,128985,66,"5,463.74",ziemski
Powiat kolbuszowski,605,79.4,61389,222,16.4,246370,3,"5,082.42",ziemski
Powiat mogileński,604,65,43853,282,19.2,197631,6,"5,482.81",ziemski
Powiat zambrowski,595,56.7,41550,236,18.5,254777,18,"5,601.17",ziemski
Powiat wolsztyński,594,83.5,56743,165,16.7,275036,91,"5,635.22",ziemski
Powiat chełmiński,592,94,49562,251,17.9,168729,18,"5,339.74",ziemski
Powiat m. Wałbrzych od 2013,586,1202.8,101857,300,25.1,177378,79,"6,731.24",grodzki
Powiat kościański,581,107.1,77404,205,18,236378,75,"5,931.56",ziemski
Powiat przemyski,576,58.9,71393,439,16.9,163538,3,"5,052.75",ziemski
Powiat strzelecki,572,96.3,71658,298,18.3,195718,52,"6,081.35",ziemski
Powiat leszczyński,565,73.9,59531,221,14.6,287914,75,"6,002.93",ziemski
Powiat opolski,559,69.3,56163,374,21,207924,25,"5,132.54",ziemski
Powiat sokołowski,558,44.7,50618,339,21.5,239701,25,"5,459.15",ziemski
Powiat miechowski,534,69.5,46998,569,22.3,292875,36,"5,415.22",ziemski
Powiat wągrowiecki,531,66.4,69039,578,17,237207,39,"5,319.73",ziemski
Powiat śremski,530,106.5,61115,270,17.1,273021,80,"5,376.46",ziemski
Powiat pajęczański,530,61,49064,281,20.3,285046,9,"5,467.17",ziemski
Powiat kętrzyński,529,47.6,57792,262,20.8,149288,66,"5,244.28",ziemski
Powiat giżycki,525,48.2,54016,237,19.7,300119,19,"5,498.08",ziemski
